근무지,지점,포지션,근무시간,급여
서울 영등포, 제일패션리테일(주),[부산] 에잇세컨즈 홈플러스아,13:30~22:30,"시급10,310"
부산 전체, 제일패션리테일(주),[타임스퀘어점]에잇세컨즈 평일근무 아르바이트 모집,12:30~21:30,"시급8,590"
부산 연제구, 제일패션리테일(주),에잇세컨즈(8SECONDS) 롯데 동부산 아울렛점 아르바이트 채용,08:30~22:30,"시급8,590"
울산 남구, 제일패션리테일(주),[부산] 에잇세컨즈 홈플러스아시아드8S 아르바이트 채용,12:30~21:30,"연봉24,770,000"
